Games,BWAYLAND,MARYVILLE,BROOKLYNTECH,BBLAIR,BASISSANANTONIO,NORTHALLEGHENY,JAMESLOGAN,BIOLANI,STUY,CHILLICOTHE,BNAPERVILLENORTH,DUPONT,TEMPLECITY,BLIBERTY,LUBBOCK,NORTHVIEW,NORTHIDSTEM,BROOKFIELD,MSMS,BSTANFORDONLINE,PULLMAN,BTEMPLECITY,BGREENHOPE,BLAIR,HURON,HUNTER,BMARYVILLE,JOHNADAMS,FAIRVIEW,AMITY,GATLINGABEL,CSHEN,SCGSSM,BNORTHHOLLYWOOD,CENTERVILLE,BFREMD,ALTO,FRANKLIN,BMIDDLETON,WOOTTON,HORN,MATSU,BBROOKLYNTECH,PALISADESCHARTER,EISENHOWER,SHEN,BEISENHOWER,LYNBROOK,CENTENNIAL,CJAMESRUSE,ARDSLEY,CBROOKLYNTECH,OKLAHOMA,BBOW,BARCADIA,BAMERICAN,MILLER,MIDDLETON,BBHBL,REDMOND,INDIANS,MARQUETTE,BILLERICA,STEVENS,SARATOGA,KELLYWALSH,WWPN,BAMADORVALLEY,CADMIUM,BEDISON,BOW,WARDMELVILLE,NISKAYUNA,EASTSIDE,VANNUYS,CBAALBANY,UNIPREP,EDWCLARK,BPALOALTO,GREENWICH,DINTERLAKE,PALISADES,CORAL,BDOUGHERTY,HOPKINS,CRESTVIEWMIDDLE,FOSSILRIDGE,PRISMS,GRAYSON,BECKMAN,RMHS,BDULLES,INTERLAKE,ENLOE,WALTON,HENRYGUNN,ALPHAS,LEXINGTON,IOLANI,CINTERLAKE,CADDO,BLYNBROOK,BFOOTHILL,BCUPERTINO,BASFA,BWOOTTON,PORTOLA,QUAILVALLEY,CLOVIS,BROOSEVELT,MIRAMONTE,MISSISSIPPI,AMERICAN,LOSALAMOS,BCORAL,BHENRYGUNN,CWAYZATA,BLINDBERGH,SCIENCEACADEMY,GATLINGABLE,BPULLMAN,COLEGIO,BUCHHOLZ,ARCADIA,AMES,EDISON,BRAVO,MCTM,BSTUY,AMPF,CGREENWICH,LONGWOOD,BLEXINGTON,AGLASTONBURY,HARKER,IRRELEVANT,FREMD,WESTMINSTER,FOOTHILL,PLEASANTON,TJHSST,BSCGSSM,BSHEN,BJAMESRUSE,TIMBERLINE,EASTLYME,MORRISHILLS,BLUEVALLEYWEST,STOCKDALE,PALO,HILLSDALE,CEDARFALLS,CREIGHTON,HILLCREST,WARDE,SEVENLAKES,WHEATLEY,CANTERBURY,BWWPN,BHBL,MTLEBANON,ALIBERTY,BBROOKFIELD,CRMHS,BASISPEORIA,BMCC,LADUE,CONESTOGA,OLYMPIA,JPSTEVENS,BOBJONES,TUPELO,CARCADIA,NEWCANAAN,MORGANTOWN,JONASCLARKE,BPOOLESVILLE,OLATHE,CMIDDLETON,RAT,MASS,BRHS,CATLINGABEL,CARMEL,MIRALOMA,VENICE,CMARYVILLE,MCA,TESLASTEM,BISMARCK,SOLON,NEWTOWN,BBECKMAN,BVANNUYS,GREENHOPE,PLANO,BHILLSBOROUGH,CUPERTINO,STANFORDONLINE,TROY,MINNETONKA,MADISONWEST,ABRAHAMLINCOLN,DOUGHERTY,GRANDOAKS,WAYLAND,FARMINGTON,BETHLEHEM,ODLE,CAPEELIZABETH,BNCSSM,CHOATE,STCROIX,ROOSEVELT,PALY,BHOPKINS,QB,BCONESTOGA,BMSJ,BTIMBERLINE,CAMSA,BWAYZATA,BBUCHHOLZ,CBLAIR,WAYZATA,BCANYONCREST,BBRMHS,LANGLEY,BAMSA,FALMOUTH,NATIONFORD,SAINTFRANCIS,BROCKBRIDGE,LIVINGSTON,BBASISSILICONVALLEY,HARRISON,BILLINGS,HOPKINTON,BEDWCLARK,MAUI,NORTHHOLLYWOOD,FAYETTEVILLE,NORTHVILLE,DJAMESRUSE,COLLIERVILLE,PRINCETON,CNASHUA,BTSA,JAMESRUSE,BENTONVILLE,CWWPN,MONTESSORI,BCLEMENTS,WESTVIEW,AHSBROWARD,AMADORVALLEY,JOHN,MCCRACKEN,BWARDMELVILLE,PUNAHOU,POLLESVILLE,BGREENWICH,MONTAVISTA,PINGPONG,BBRHS,BINTERLAKE,SHARON,NAPERVILLENORTH,BSHARON,BMARQUETTE,ASFA,ECHHS,PALI,CJPSTEVENS,BNISKAYUNA,HIGHLANDPARK,CANYONCREST,LINDBERGH,POBJFK,BAHSBROWARD,BTESLASTEM,SCDS,CFOOTHILL,ROCKBRIDGE,MILLHILL,NCSSM,COMMUNITYMIDDLESCHOOL,UNIVERSITY,MSJ,GLASTONBURY,HHR,RICKARDS,BLADUE,DAVIDSON,BBASISPEORIA,AAH,BCENTENNIAL,BDAVIDSON,BENLOE,YOUNGMAGNET,BGLASTONBURY,HILLSBOROUGH,BRMHS,AMERICANHERITAGE,BSARATOGA,CLEMENTS,LAKESIDE,BMIRALOMA,DBROOKLYNTECH,NASHUA,TEAMSTARS,PEDDIE,CMSJ,BAULKHAMHILLS,FRANKLING,BLAKESIDE,MOUNTAINVIEW,RAY,PALOALTO,DULLES,BASISSILICONVALLEY,ALABAMA,BJPSTEVENS
620,0,1111.29,0,0,0,0,0,0,1211.64,0,0,0,0,0,0,0,0,1116.85,0,0,0,0,0,1557.55,1168.02,0,1131.6,0,1136,1152.99,0,0,0,1114.33,1147.46,0,0,1118.71,1177.45,0,1122.02,0,0,0,0,1302.86,0,1395.77,1373.72,0,1221.99,0,0,0,1248.15,0,0,1326.43,0,1210.18,0,0,1182.86,0,0,0,1234.18,0,1127.04,0,0,1194.77,0,1448.9,1163.89,0,0,0,0,0,0,0,0,0,1140.87,0,0,0,0,0,0,0,1318.1,0,1172.57,1165.06,1140.87,1482.19,1179.4,0,0,1171.63,0,0,0,0,1111.52,0,0,0,0,0,0,1108.87,0,1160.69,0,0,1103.47,0,0,0,1200.32,1208.67,1455.06,0,1228.93,0,0,1108.87,0,0,0,0,1223.81,1214.66,0,1302.85,1130.29,0,0,0,0,0,1120.45,0,0,1219.61,1163.61,0,0,0,0,0,1165.54,0,1196.4,0,1162.11,0,0,0,1165.36,0,1218.18,1231.21,1163.55,0,0,1171.09,0,0,0,0,1197.1,0,0,0,0,1117.08,1177.83,0,0,0,1609.46,1105.26,1156.98,0,1361.9,0,0,1171.35,0,1228.94,1181.66,1108.87,1163.64,0,0,0,0,0,0,0,0,0,0,1211.09,0,0,0,1289.64,0,0,1173.43,0,0,0,0,1145.54,0,1117.36,0,0,1280.75,0,1111.85,1190.92,0,0,0,0,0,1230.81,0,0,0,0,0,0,1533.31,0,0,0,0,1145.04,0,0,0,0,0,0,0,1374.47,0,0,0,0,0,0,0,0,0,1142.54,0,0,1146.79,1432.23,1171.12,0,1118.06,0,0,0,0,0,1142.52,0,0,0,0,0,0,0,1248.75,1288.39,1158.58,1251.68,0,0,0,0,1105.07,1294.2,0,0,1110.21,0,0,1161.93,0,1104.32,1148.84,0,0,1228.09,0,1255.35,0,1212.39,1113.52,0,0,0,0,0,0,0,1145.66,1415.35,0,0,0
630,0,1149.65,0,0,0,0,0,0,1211.64,0,0,0,0,0,0,0,0,1116.85,0,0,0,0,0,1557.55,1168.02,0,1105.45,0,1136,1152.99,0,0,0,1114.33,1147.46,0,0,1118.71,1177.45,0,1122.02,0,0,0,0,1302.86,0,1395.77,1362.61,0,1221.99,0,0,0,1219.33,0,0,1319.88,0,1210.18,0,0,1182.86,0,0,0,1234.18,0,1127.04,0,0,1194.77,0,1448.9,1156.99,0,0,0,0,0,0,0,0,0,1140.87,0,0,0,0,0,0,0,1318.1,0,1172.57,1165.06,1140.87,1489.57,1207.29,0,0,1171.63,0,0,0,0,1111.52,0,0,0,0,0,0,1108.87,0,1160.69,0,0,1103.47,0,0,0,1200.32,1234.82,1455.06,0,1228.93,0,0,1108.87,0,0,0,0,1223.81,1214.66,0,1302.85,1130.29,0,0,0,0,0,1120.45,0,0,1219.61,1163.61,0,0,0,0,0,1165.54,0,1196.4,0,1162.11,0,0,0,1165.36,0,1218.18,1231.21,1163.55,0,0,1171.09,0,0,0,0,1197.1,0,0,0,0,1117.08,1177.83,0,0,0,1616.01,1105.26,1156.98,0,1361.9,0,0,1171.35,0,1228.94,1181.66,1108.87,1163.64,0,0,0,0,0,0,0,0,0,0,1211.09,0,0,0,1355.96,0,0,1173.43,0,0,0,0,1145.54,0,1117.36,0,0,1280.75,0,1111.85,1190.92,0,0,0,0,0,1216.06,0,0,0,0,0,0,1533.31,0,0,0,0,1145.04,0,0,0,0,0,0,0,1374.47,0,0,0,0,0,0,0,0,0,1142.54,0,0,1146.79,1432.23,1171.12,0,1118.06,0,0,0,0,0,1142.52,0,0,0,0,0,0,0,1226.06,1288.39,1158.58,1251.68,0,0,0,0,1105.07,1294.2,0,0,1110.21,0,0,1161.93,0,1104.32,1148.84,0,0,1228.09,0,1269.03,0,1212.39,1113.52,0,0,0,0,0,0,0,1145.66,1415.35,0,0,0
640,0,1160.41,0,0,0,0,0,0,1211.64,0,0,0,0,0,0,0,0,1116.85,0,0,0,0,0,1557.55,1168.02,0,1105.45,0,1136,1152.99,0,0,0,1114.33,1147.46,0,0,1118.71,1177.45,0,1122.02,0,0,0,0,1302.86,0,1395.77,1383.85,0,1221.99,0,0,0,1182.03,0,0,1300.23,0,1210.18,0,0,1182.86,0,0,0,1234.18,0,1127.04,0,0,1194.77,0,1448.9,1156.99,0,0,0,0,0,0,0,0,0,1140.87,0,0,0,0,0,0,0,1318.1,0,1172.57,1165.06,1140.87,1467.99,1279.06,0,0,1171.63,0,0,0,0,1111.52,0,0,0,0,0,0,1108.87,0,1160.69,0,0,1103.47,0,0,0,1200.32,1202.15,1455.06,0,1228.93,0,0,1108.87,0,0,0,0,1223.81,1214.66,0,1302.85,1130.29,0,0,0,0,0,1120.45,0,0,1219.61,1163.61,0,0,0,0,0,1165.54,0,1196.4,0,1162.11,0,0,0,1165.36,0,1218.18,1231.21,1163.55,0,0,1171.09,0,0,0,0,1197.1,0,0,0,0,1117.08,1177.83,0,0,0,1644.42,1105.26,1156.98,0,1361.9,0,0,1171.35,0,1228.94,1181.66,1108.87,1163.64,0,0,0,0,0,0,0,0,0,0,1211.09,0,0,0,1342.27,0,0,1173.43,0,0,0,0,1145.54,0,1117.36,0,0,1280.75,0,1111.85,1190.92,0,0,0,0,0,1183.39,0,0,0,0,0,0,1533.31,0,0,0,0,1145.04,0,0,0,0,0,0,0,1374.47,0,0,0,0,0,0,0,0,0,1142.54,0,0,1146.79,1432.23,1171.12,0,1118.06,0,0,0,0,0,1142.52,0,0,0,0,0,0,0,1285.28,1288.39,1158.58,1251.68,0,0,0,0,1105.07,1294.2,0,0,1110.21,0,0,1161.93,0,1104.32,1148.84,0,0,1228.09,0,1247.94,0,1212.39,1113.52,0,0,0,0,0,0,0,1145.66,1415.35,0,0,0
650,0,1160.41,0,0,0,0,0,0,1211.64,0,0,0,0,0,0,0,0,1116.85,0,0,0,0,0,1551.11,1168.02,0,1105.45,0,1136,1152.99,0,0,0,1114.33,1147.46,0,0,1118.71,1177.45,0,1122.02,0,0,0,0,1302.86,0,1395.77,1365.15,0,1221.99,0,0,0,1182.03,0,0,1300.23,0,1210.18,0,0,1182.86,0,0,0,1234.18,0,1127.04,0,0,1194.77,0,1448.9,1156.99,0,0,0,0,0,0,0,0,0,1140.87,0,0,0,0,0,0,0,1318.1,0,1172.57,1165.06,1140.87,1534.16,1279.06,0,0,1171.63,0,0,0,0,1111.52,0,0,0,0,0,0,1108.87,0,1160.69,0,0,1103.47,0,0,0,1200.32,1202.15,1455.06,0,1228.93,0,0,1108.87,0,0,0,0,1223.81,1214.66,0,1302.85,1130.29,0,0,0,0,0,1120.45,0,0,1219.61,1163.61,0,0,0,0,0,1165.54,0,1196.4,0,1162.11,0,0,0,1165.36,0,1212.53,1231.21,1163.55,0,0,1171.09,0,0,0,0,1197.1,0,0,0,0,1117.08,1177.83,0,0,0,1623.11,1105.26,1156.98,0,1371.61,0,0,1171.35,0,1228.94,1181.66,1108.87,1163.64,0,0,0,0,0,0,0,0,0,0,1211.09,0,0,0,1321.15,0,0,1173.43,0,0,0,0,1145.54,0,1117.36,0,0,1280.75,0,1111.85,1190.92,0,0,0,0,0,1183.39,0,0,0,0,0,0,1533.31,0,0,0,0,1145.04,0,0,0,0,0,0,0,1374.47,0,0,0,0,0,0,0,0,0,1142.54,0,0,1146.79,1432.23,1171.12,0,1118.06,0,0,0,0,0,1142.52,0,0,0,0,0,0,0,1266.47,1288.39,1158.58,1251.68,0,0,0,0,1105.07,1294.2,0,0,1110.21,0,0,1161.93,0,1104.32,1148.84,0,0,1228.09,0,1247.94,0,1212.39,1113.52,0,0,0,0,0,0,0,1145.66,1408.56,0,0,0
660,0,1160.41,0,0,0,0,0,0,1211.64,0,0,0,0,0,0,0,0,1116.85,0,0,0,0,0,1561.8,1168.02,0,1105.45,0,1136,1152.99,0,0,0,1114.33,1147.46,0,0,1118.71,1177.45,0,1122.02,0,0,0,0,1302.86,0,1395.77,1365.15,0,1221.99,0,0,0,1182.03,0,0,1300.23,0,1210.18,0,0,1182.86,0,0,0,1234.18,0,1127.04,0,0,1194.77,0,1448.9,1156.99,0,0,0,0,0,0,0,0,0,1140.87,0,0,0,0,0,0,0,1318.1,0,1172.57,1165.06,1140.87,1520.4,1279.06,0,0,1171.63,0,0,0,0,1111.52,0,0,0,0,0,0,1108.87,0,1160.69,0,0,1103.47,0,0,0,1200.32,1202.15,1455.06,0,1228.93,0,0,1108.87,0,0,0,0,1223.81,1214.66,0,1302.85,1130.29,0,0,0,0,0,1120.45,0,0,1219.61,1163.61,0,0,0,0,0,1165.54,0,1196.4,0,1162.11,0,0,0,1165.36,0,1214.92,1231.21,1163.55,0,0,1171.09,0,0,0,0,1197.1,0,0,0,0,1117.08,1177.83,0,0,0,1606.66,1105.26,1156.98,0,1444.06,0,0,1171.35,0,1228.94,1181.66,1108.87,1163.64,0,0,0,0,0,0,0,0,0,0,1211.09,0,0,0,1321.15,0,0,1173.43,0,0,0,0,1145.54,0,1117.36,0,0,1280.75,0,1111.85,1190.92,0,0,0,0,0,1183.39,0,0,0,0,0,0,1533.31,0,0,0,0,1145.04,0,0,0,0,0,0,0,1374.47,0,0,0,0,0,0,0,0,0,1142.54,0,0,1146.79,1432.23,1171.12,0,1118.06,0,0,0,0,0,1142.52,0,0,0,0,0,0,0,1266.47,1288.39,1158.58,1251.68,0,0,0,0,1105.07,1294.2,0,0,1110.21,0,0,1161.93,0,1104.32,1148.84,0,0,1228.09,0,1247.94,0,1212.39,1113.52,0,0,0,0,0,0,0,1145.66,1377.39,0,0,0
670,0,1160.41,0,0,0,0,0,0,1211.64,0,0,0,0,0,0,0,0,1116.85,0,0,0,0,0,1544.21,1168.02,0,1105.45,0,1136,1152.99,0,0,0,1114.33,1147.46,0,0,1118.71,1177.45,0,1122.02,0,0,0,0,1302.86,0,1395.77,1365.15,0,1221.99,0,0,0,1182.03,0,0,1300.23,0,1210.18,0,0,1182.86,0,0,0,1234.18,0,1127.04,0,0,1194.77,0,1448.9,1156.99,0,0,0,0,0,0,0,0,0,1140.87,0,0,0,0,0,0,0,1318.1,1229.37,1172.57,1165.06,1140.87,1568.61,1279.06,0,0,1171.63,0,0,0,0,1111.52,0,0,0,0,0,0,1108.87,0,1160.69,0,0,1103.47,0,0,0,1276.23,1202.15,1455.06,0,1228.93,0,0,1108.87,1168,0,0,0,1223.81,1214.66,0,1302.85,1130.29,0,0,0,0,0,1120.45,0,0,1219.61,1163.61,0,0,0,0,0,1165.54,0,1196.4,0,1162.11,0,0,0,1165.36,0,1214.92,1231.21,1163.55,0,0,1171.09,0,0,0,0,1197.1,0,0,0,0,1117.08,1177.83,0,1171.65,0,1598.18,1105.26,1156.98,0,1398.13,0,0,1171.35,0,1228.94,1181.66,1108.87,1163.64,0,0,0,0,0,0,0,0,0,0,1211.09,0,0,0,1321.15,0,0,1173.43,0,0,0,0,1145.54,0,1117.36,0,0,1280.75,0,1111.85,1190.92,0,0,0,0,0,1183.39,0,0,0,1136.36,0,0,1533.31,0,0,0,0,1145.04,0,0,0,0,1231.81,0,0,1374.47,0,0,0,0,0,0,0,0,0,1142.54,0,0,1146.79,1432.23,1171.12,0,1118.06,0,0,0,0,0,1142.52,0,0,0,0,0,0,0,1266.47,1288.39,1158.58,1251.68,0,0,0,0,1105.07,1294.2,1234.45,0,1110.21,0,0,1161.93,0,1104.32,1148.84,0,0,1228.09,0,1247.94,0,1212.39,1113.52,0,0,0,0,0,0,0,1145.66,1377.39,0,0,0
680,0,1160.41,0,0,0,0,0,0,1211.64,0,0,0,0,0,0,0,0,1116.85,0,0,0,0,0,1534.35,1168.02,0,1105.45,0,1136,1152.99,1210.01,0,0,1114.33,1147.46,0,0,1118.71,1177.45,0,1122.02,0,0,0,0,1302.86,0,1395.77,1365.15,0,1221.99,0,0,0,1182.03,0,0,1330,0,1210.18,0,0,1182.86,0,0,0,1234.18,0,1127.04,0,0,1194.77,0,1448.9,1156.99,0,0,0,0,0,0,0,0,0,1140.87,0,0,0,0,0,0,0,1318.1,1229.37,1172.57,1165.06,1140.87,1510.6,1279.06,0,0,1171.63,0,0,0,0,1111.52,0,0,0,0,0,0,1108.87,0,1160.69,0,0,1103.47,1220.69,0,0,1286.59,1202.15,1455.06,0,1228.93,0,0,1108.87,1168,0,0,0,1223.81,1214.66,0,1302.85,1130.29,0,0,0,0,0,1120.45,0,0,1219.61,1163.61,0,0,0,0,0,1165.54,0,1196.4,0,1162.11,0,0,0,1165.36,0,1214.92,1231.21,1163.55,0,0,1171.09,0,0,0,0,1197.1,0,0,0,0,1117.08,1177.83,0,1146.39,0,1598.18,1105.26,1156.98,0,1428.32,0,0,1171.35,0,1228.94,1181.66,1108.87,1163.64,0,0,0,0,0,0,0,0,0,0,1211.09,0,0,0,1321.15,0,0,1173.43,0,0,0,0,1145.54,0,1117.36,0,0,1280.75,0,1111.85,1190.92,0,0,0,0,0,1183.39,0,0,0,1136.36,0,0,1533.31,0,0,0,0,1145.04,0,0,0,0,1231.81,0,0,1374.47,0,0,0,0,0,0,0,0,0,1142.54,0,0,1146.79,1432.23,1171.12,0,1118.06,0,0,0,0,0,1142.52,0,0,0,0,0,0,0,1266.47,1288.39,1158.58,1251.68,0,0,0,0,1105.07,1294.2,1234.45,0,1110.21,0,0,1161.93,0,1104.32,1148.84,0,0,1228.09,0,1247.94,0,1212.39,1113.52,0,0,0,0,0,0,0,1145.66,1377.39,0,0,0
690,0,1160.41,0,0,0,0,0,0,1211.64,0,0,0,0,0,0,0,0,1116.85,0,0,0,0,0,1510.45,1168.02,0,1105.45,0,1136,1152.99,1210.01,0,0,1114.33,1147.46,0,0,1118.71,1177.45,0,1122.02,0,0,0,0,1302.86,0,1395.77,1365.15,0,1221.99,0,0,0,1182.03,0,0,1328.09,0,1210.18,0,0,1182.86,0,0,0,1234.18,0,1127.04,0,0,1194.77,0,1448.9,1156.99,0,0,0,0,0,0,0,0,0,1140.87,0,0,0,0,0,0,0,1318.1,1229.37,1172.57,1165.06,1140.87,1536.41,1279.06,0,0,1171.63,0,0,0,0,1111.52,0,0,0,0,0,0,1108.87,0,1160.69,0,0,1103.47,1220.69,0,0,1286.59,1202.15,1455.06,0,1228.93,0,0,1108.87,1168,0,0,0,1223.81,1214.66,0,1317.85,1130.29,0,0,0,0,0,1120.45,0,0,1219.61,1163.61,0,0,0,0,0,1165.54,0,1196.4,0,1162.11,0,0,0,1165.36,0,1227.29,1231.21,1163.55,0,0,1171.09,0,0,0,0,1197.1,0,0,0,0,1117.08,1177.83,0,1146.39,0,1576.67,1105.26,1156.98,0,1428.32,0,0,1171.35,0,1228.94,1181.66,1108.87,1163.64,0,0,0,0,0,0,0,0,0,0,1211.09,0,0,0,1321.15,0,0,1173.43,0,0,0,0,1145.54,0,1117.36,0,0,1280.75,0,1111.85,1190.92,0,0,0,0,0,1183.39,0,0,0,1136.36,0,0,1533.31,0,0,0,0,1145.04,0,0,0,0,1231.81,0,0,1374.47,0,0,0,0,0,0,0,0,0,1142.54,0,0,1146.79,1432.23,1171.12,0,1118.06,0,0,0,0,0,1142.52,0,0,0,1204.82,0,0,0,1266.47,1288.39,1158.58,1251.68,0,0,0,0,1105.07,1393.92,1234.45,0,1110.21,0,0,1161.93,0,1104.32,1148.84,0,0,1228.09,0,1247.94,0,1212.39,1113.52,0,0,0,0,0,0,0,1145.66,1377.39,0,0,0
700,0,1160.41,0,0,0,0,0,0,1211.64,0,0,0,0,0,0,0,0,1116.85,0,0,0,0,0,1510.45,1168.02,0,1105.45,0,1136,1152.99,1210.01,0,0,1114.33,1147.46,0,0,1118.71,1177.45,0,1122.02,0,0,0,0,1302.86,0,1395.77,1365.15,0,1221.99,0,0,0,1182.03,0,0,1328.09,0,1210.18,0,0,1182.86,0,0,0,1234.18,0,1127.04,0,0,1194.77,0,1448.9,1156.99,0,0,0,0,0,0,0,0,0,1140.87,0,0,0,0,0,0,0,1318.1,1229.37,1172.57,1165.06,1140.87,1536.41,1279.06,0,0,1171.63,0,0,0,0,1111.52,0,0,0,0,0,0,1108.87,0,1160.69,0,0,1103.47,1220.69,0,0,1286.59,1202.15,1455.06,0,1228.93,0,0,1108.87,1168,0,0,0,1223.81,1214.66,0,1320.17,1130.29,0,0,0,0,0,1120.45,0,0,1219.61,1163.61,0,0,0,0,0,1165.54,0,1196.4,0,1162.11,0,0,0,1165.36,0,1275.63,1231.21,1163.55,0,0,1171.09,0,0,0,0,1197.1,0,0,0,0,1117.08,1177.83,0,1146.39,0,1595.05,1105.26,1156.98,0,1428.32,0,0,1149,0,1228.94,1181.66,1108.87,1163.64,0,0,0,0,0,0,0,0,0,0,1211.09,0,0,0,1321.15,0,0,1173.43,0,0,0,0,1145.54,0,1117.36,0,0,1280.75,0,1111.85,1190.92,0,0,0,0,0,1183.39,0,0,0,1136.36,0,0,1533.31,0,0,0,0,1145.04,0,0,0,0,1231.81,0,0,1374.47,0,0,0,0,0,0,0,0,0,1142.54,0,0,1146.79,1432.23,1171.12,0,1118.06,0,0,0,0,0,1142.52,0,0,0,1148.29,0,0,0,1266.47,1288.39,1158.58,1251.68,0,0,0,0,1105.07,1333.91,1234.45,0,1110.21,0,0,1141.81,0,1104.32,1148.84,0,0,1228.09,0,1247.94,0,1212.39,1113.52,0,0,0,0,0,0,0,1145.66,1377.39,1256.64,0,0
710,0,1160.41,0,0,0,0,0,0,1211.64,0,0,0,0,0,0,0,0,1116.85,0,0,0,0,0,1510.45,1168.02,0,1105.45,0,1136,1152.99,1210.01,0,0,1114.33,1147.46,0,0,1118.71,1177.45,0,1122.02,0,0,0,0,1302.86,0,1395.77,1365.15,0,1221.99,0,0,0,1182.03,0,0,1328.09,0,1210.18,0,0,1182.86,0,0,0,1234.18,0,1127.04,0,0,1194.77,0,1448.9,1156.99,0,0,0,0,0,0,0,0,0,1140.87,0,0,0,0,0,0,0,1318.1,1229.37,1172.57,1165.06,1140.87,1536.41,1279.06,0,0,1171.63,0,0,0,0,1111.52,0,0,0,0,0,0,1108.87,0,1160.69,0,0,1103.47,1220.69,0,0,1286.59,1202.15,1444.77,0,1228.93,0,0,1108.87,1168,0,0,0,1223.81,1214.66,0,1320.17,1130.29,0,0,0,0,0,1120.45,0,0,1219.61,1163.61,0,0,0,0,0,1165.54,0,1196.4,0,1162.11,0,0,0,1165.36,0,1275.63,1231.21,1163.55,0,0,1171.09,0,0,0,0,1197.1,0,0,0,0,1117.08,1177.83,0,1146.39,0,1595.05,1105.26,1156.98,0,1428.32,0,0,1149,0,1228.94,1181.66,1108.87,1163.64,0,0,0,0,0,0,0,0,0,0,1211.09,0,0,0,1321.15,0,0,1173.43,0,0,0,0,1145.54,0,1117.36,0,0,1280.75,0,1111.85,1190.92,0,0,0,0,0,1183.39,0,0,0,1136.36,0,0,1533.31,0,0,0,0,1145.04,0,0,0,0,1231.81,0,0,1374.47,0,0,0,0,0,0,0,0,0,1142.54,0,0,1146.79,1432.23,1171.12,0,1118.06,0,0,0,0,0,1142.52,0,0,0,1148.29,1231.54,0,0,1266.47,1288.39,1158.58,1251.68,0,0,0,0,1105.07,1333.91,1234.45,0,1110.21,0,0,1124.08,0,1104.32,1148.84,0,0,1228.09,0,1247.94,0,1212.39,1113.52,0,0,0,0,0,0,0,1145.66,1404.75,1298.92,0,0
720,0,1160.41,0,0,0,0,0,0,1211.64,0,0,0,0,0,0,0,0,1116.85,0,0,0,0,0,1510.45,1168.02,0,1105.45,0,1136,1152.99,1210.01,0,0,1114.33,1147.46,0,0,1118.71,1177.45,0,1122.02,0,0,0,0,1302.86,0,1395.77,1376.98,0,1221.99,0,0,0,1182.03,0,0,1328.09,0,1210.18,0,0,1182.86,0,0,0,1234.18,0,1127.04,0,0,1194.77,0,1448.9,1156.99,0,0,0,0,0,0,0,0,0,1140.87,0,0,0,0,0,0,0,1318.1,1229.37,1172.57,1165.06,1140.87,1536.41,1279.06,0,0,1171.63,0,0,0,0,1111.52,0,0,0,0,0,0,1108.87,0,1160.69,0,0,1103.47,1220.69,0,0,1286.59,1202.15,1467.38,0,1228.93,0,0,1108.87,1168,0,0,0,1223.81,1214.66,0,1320.17,1130.29,0,0,0,0,0,1120.45,0,0,1219.61,1163.61,0,0,0,0,0,1165.54,0,1196.4,0,1162.11,0,0,0,1165.36,0,1275.63,1231.21,1163.55,0,0,1171.09,0,0,0,0,1197.1,0,0,0,0,1117.08,1177.83,0,1146.39,0,1595.05,1105.26,1156.98,0,1428.32,0,0,1149,0,1228.94,1181.66,1108.87,1163.64,0,0,0,0,0,0,0,0,0,0,1211.09,0,0,0,1321.15,0,0,1173.43,0,0,0,0,1145.54,0,1117.36,0,0,1297.62,0,1111.85,1190.92,0,0,0,0,0,1183.39,0,0,0,1136.36,0,0,1533.31,0,0,0,0,1145.04,0,0,0,0,1231.81,0,0,1374.47,0,0,0,0,0,0,0,0,0,1142.54,0,0,1146.79,1432.23,1171.12,0,1118.06,0,0,0,0,0,1142.52,0,0,0,1148.29,1195.38,0,0,1266.47,1288.39,1158.58,1267.85,0,0,0,0,1105.07,1333.91,1234.45,0,1110.21,0,0,1124.08,0,1104.32,1148.84,0,0,1228.09,0,1247.94,0,1212.39,1113.52,0,0,0,0,0,0,0,1102.45,1400.22,1298.92,0,0
